Кол-во точек | Время работы со структурами, x | Время работы с классами, y | Отношение y/x :

100 000 | 2,5495 мс | 4,5606 мс | 1,7888213375171602
200 000 | 4,645 мс | 8,3717 мс | 1,8023035522066742

100 000 | 2,7848 мс | 4,9973 мс | 1,7944915254237288
200 000 | 5,0487 мс | 8,9813 мс | 1,778933190722364

100 000 | 3,4586 мс | 5,4301 мс | 1,5700283351645175
200 000 | 4,9833 мс | 9,5686 мс | 1,9201332450384283

100 000 | 5,2587 мс | 8,7902 мс | 1,6715538060737445
200 000 | 4,9173 мс | 9,7106 мс | 1,9747829093201552

100 000 | 2,6747 мс | 4,936 мс | 1,8454406101618872
200 000 | 4,3375 мс | 8,7432 мс | 2,015723342939481

100 000 | 2,5444 мс | 4,6164 мс | 1,8143373683383115
200 000 | 4,8343 мс | 8,4628 мс | 1,750574023126409

100 000 | 2,7874 мс | 5,0714 мс | 1,8194015928822558
200 000 | 5,072 мс | 9,0218 мс | 1,7787460567823346

100 000 | 3,0718 мс | 5,1325 мс | 1,6708444560192721
200 000 | 5,0858 мс | 9,5482 мс | 1,87742341421212

100 000 | 3,9255 мс | 5,3355 мс | 1,3591899121131066
200 000 | 5,2558 мс | 9,8772 мс | 1,8792952547661632

100 000 | 2,6498 мс | 4,6325 мс | 1,7482451505774022
200 000 | 4,697 мс | 8,6319 мс | 1,837747498403236
